Tract Code,Tract Income Level,Distressed or Under,Tract Median Family Income %,2021 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2021 Est. Tract Median Family Income,2015 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units,Total Housing Units,Median House Age (Years),Inside Principal City?,Owner Occupied Units,Vacant Units,Owner Occupied 1- to 4- Family Units,Renter Occupied Units
7032.07,Low,No,48.14,"$129,900 ","$62,534 ","$54,242 ",6468,81.85,5294,537,756,1870,41,No,537,79,531,1254
7032.08,Upper,No,122.79,"$129,900 ","$159,504 ","$138,333 ",4986,26.33,1313,1473,1749,1749,52,No,1473,125,1473,151
7032.09,Middle,No,89.63,"$129,900 ","$116,429 ","$100,977 ",6662,64.49,4296,1274,1139,2357,45,No,1274,12,966,1071
7032.1,Moderate,No,74.26,"$129,900 ","$96,464 ","$83,664 ",3793,63.2,2397,941,1103,1109,53,No,941,35,941,133
7032.12,Middle,No,104.05,"$129,900 ","$135,161 ","$117,219 ",9210,75.93,6993,2070,2128,3165,33,No,2070,60,1919,1035
7032.13,Low,No,37.95,"$129,900 ","$49,297 ","$42,762 ",6613,91.26,6035,384,298,2403,40,No,384,150,73,1869
7032.14,Moderate,No,65.73,"$129,900 ","$85,383 ","$74,051 ",7962,90.81,7230,522,621,2535,41,No,522,77,499,1936
7032.15,Moderate,No,79.02,"$129,900 ","$102,647 ","$89,028 ",3665,72.28,2649,635,675,1147,43,No,635,66,595,446
7032.16,Middle,No,88.51,"$129,900 ","$114,974 ","$99,712 ",3769,49.69,1873,1698,1588,2176,44,No,1698,124,1255,354
7032.18,Middle,No,86.6,"$129,900 ","$112,493 ","$97,566 ",1883,12.48,235,1071,255,1549,33,No,1071,140,237,338
7032.19,Moderate,No,62.7,"$129,900 ","$81,447 ","$70,644 ",3575,22.04,788,1778,166,2585,27,No,1778,243,136,564
7032.2,Moderate,No,68.1,"$129,900 ","$88,462 ","$76,719 ",5174,71.98,3724,1204,1158,2048,32,No,1204,116,928,728
7032.21,Middle,No,108.33,"$129,900 ","$140,721 ","$122,045 ",5302,66.11,3505,1566,1553,1813,29,No,1566,27,1379,220
7033.01,Moderate,No,76.96,"$129,900 ","$99,971 ","$86,700 ",4804,68.07,3270,1134,1412,1412,58,No,1134,0,1134,278
7033.02,Moderate,No,63.24,"$129,900 ","$82,149 ","$71,250 ",4671,77.84,3636,950,1203,1213,58,No,950,44,950,219
7034.01,Moderate,No,63.95,"$129,900 ","$83,071 ","$72,047 ",5307,77.28,4101,1148,1394,1532,56,No,1148,36,1148,348
7034.02,Moderate,No,70.05,"$129,900 ","$90,995 ","$78,917 ",3536,79.58,2814,879,1080,1080,57,No,879,34,879,167
7034.03,Moderate,No,58.62,"$129,900 ","$76,147 ","$66,042 ",3573,82.84,2960,713,1020,1042,60,No,713,77,709,252
7034.04,Low,No,48.82,"$129,900 ","$63,417 ","$55,000 ",3043,92.11,2803,656,846,846,0,No,656,37,656,153
7035.01,Moderate,No,58.52,"$129,900 ","$76,017 ","$65,934 ",7233,81.35,5884,1203,1497,2101,58,No,1203,0,1136,898
7035.02,Moderate,No,76.31,"$129,900 ","$99,127 ","$85,972 ",2950,49.76,1468,827,1077,1220,56,No,827,66,827,327
7036.01,Middle,No,100.83,"$129,900 ","$130,978 ","$113,600 ",4549,54.47,2478,1319,1391,1830,57,No,1319,110,1084,401
7036.02,Upper,No,126.25,"$129,900 ","$163,999 ","$142,232 ",3186,38.48,1226,923,1079,1079,61,No,923,31,923,125
7037.01,Moderate,No,66.96,"$129,900 ","$86,981 ","$75,437 ",3860,79.82,3081,926,1177,1177,62,No,926,68,926,183
7037.02,Middle,No,89.67,"$129,900 ","$116,481 ","$101,020 ",4434,73.36,3253,934,1219,1219,62,No,934,65,934,220
7038,Moderate,No,67.98,"$129,900 ","$88,306 ","$76,591 ",3312,74.25,2459,386,609,1547,21,No,386,178,386,983
7039.01,Middle,No,112.55,"$129,900 ","$146,202 ","$126,797 ",3182,44.97,1431,887,1051,1098,60,No,887,37,887,174
7039.02,Moderate,No,77.11,"$129,900 ","$100,166 ","$86,875 ",7972,66.41,5294,1534,1836,2733,48,No,1534,120,1410,1079
7040,Middle,No,89.19,"$129,900 ","$115,858 ","$100,478 ",7061,59.24,4183,1506,1660,2645,57,No,1506,85,1244,1054
7041,Upper,No,191.78,"$129,900 ","$249,122 ","$216,055 ",4602,14.75,679,1466,1571,1658,58,No,1466,50,1466,142
7042,Upper,No,152.38,"$129,900 ","$197,942 ","$171,667 ",1990,21.56,429,475,599,800,62,No,475,45,475,280
7043,Upper,No,151.81,"$129,900 ","$197,201 ","$171,023 ",3871,17.88,692,1192,1377,1413,61,No,1192,27,1183,194
7044.01,Upper,No,168.47,"$129,900 ","$218,843 ","$189,792 ",3407,37.07,1263,846,1083,1090,55,Yes,846,73,839,171
7044.03,Middle,No,101.05,"$129,900 ","$131,264 ","$113,839 ",1597,31.31,500,708,64,1093,41,Yes,708,53,52,332
7044.04,Upper,No,135.36,"$129,900 ","$175,833 ","$152,500 ",5042,29.75,1500,1593,1623,2252,52,Yes,1593,180,1306,479
7045.01,Upper,No,126.49,"$129,900 ","$164,311 ","$142,500 ",3612,30.7,1109,970,1270,1270,55,No,970,66,970,234
7045.02,Upper,No,198.61,"$129,900 ","$257,994 ","$223,750 ",2533,20.45,518,786,938,938,51,Yes,786,76,786,76
7045.03,Upper,No,168.2,"$129,900 ","$218,492 ","$189,491 ",4237,21.38,906,1145,1357,1357,60,Yes,1145,13,1145,199
7046,Upper,No,183.17,"$129,900 ","$237,938 ","$206,354 ",4902,23.05,1130,1300,1525,1997,58,Yes,1300,194,1192,503
7047,Upper,No,221.91,"$129,900 ","$288,261 ","$250,001 ",3933,18.13,713,1136,1310,1375,64,Yes,1136,25,1136,214
7048.03,Middle,No,92.14,"$129,900 ","$119,690 ","$103,807 ",3618,36.73,1329,538,637,2085,46,Yes,538,63,338,1484
7048.04,Upper,No,137.95,"$129,900 ","$179,197 ","$155,417 ",1693,30.66,519,425,99,1118,29,Yes,425,145,99,548
7048.05,Upper,No,165.3,"$129,900 ","$214,725 ","$186,227 ",2005,26.03,522,202,128,1353,25,Yes,202,166,38,985
7048.06,Middle,No,103.19,"$129,900 ","$134,044 ","$116,250 ",3015,26.37,795,164,124,1912,39,Yes,164,143,28,1605
7050,Upper,No,181.65,"$129,900 ","$235,963 ","$204,643 ",4377,22.46,983,1146,1286,1799,66,Yes,1146,134,1080,519
7051,Upper,No,190.84,"$129,900 ","$247,901 ","$215,000 ",5179,21.26,1101,1573,1805,1999,60,No,1573,56,1408,370
7052,Upper,No,221.91,"$129,900 ","$288,261 ","$250,001 ",3169,12.24,388,1104,1176,1176,68,No,1104,30,1104,42
7053,Upper,No,221.91,"$129,900 ","$288,261 ","$250,001 ",1936,7.54,146,639,695,695,76,No,639,25,639,31
